"Betweenness(Weight)","Closeness(Weight)","Degree(Weight)","Eigenvector","Information","LAC","name","Network","selected","shared name","Subgragh"
"4.0","0.27850063589473467","25.258799999999994","0.13933874666690826","11.645971298217773","47.9","Calcarine_R","55.65530203189063","false","Calcarine_R","1.963778432703744E21"
"51.0","0.2848928744390568","28.7751","0.13355615735054016","11.495240211486816","47.142857142857146","Caudate_L","51.08665259023696","false","Caudate_L","1.8041660768351295E21"
"31.0","0.28293427018424505","28.57519999999999","0.13392752408981323","11.534494400024414","46.70175438596491","Caudate_R","51.67955888547397","false","Caudate_R","1.8142133261288163E21"
"1.0","0.27594190223268866","27.164200000000005","0.1382988542318344","11.572673797607422","48.827586206896555","SupraMarginal_L","53.96853747182934","false","SupraMarginal_L","1.9345762482949435E21"
"33.0","0.22718730328944153","9.191699999999999","0.045050088316202164","8.898764610290527","17.181818181818183","Pallidum_L","18.507169365722","false","Pallidum_L","2.0527685058094223E20"
"387.0","0.2742781246463502","24.913999999999994","0.12782138586044312","11.681178092956543","40.42622950819672","Temporal_Sup_L","52.296349967788764","false","Temporal_Sup_L","1.6525542249670503E21"
"98.0","0.23915762600786827","20.724400000000006","0.11137019097805023","11.084996223449707","39.91489361702128","Angular_R","42.87509821096778","false","Angular_R","1.2545460746233924E21"
"125.0","0.2341780579434936","13.985500000000002","0.08965170383453369","10.535473823547363","31.263157894736842","Heschl_L","33.01387759940392","false","Heschl_L","8.129536351984146E20"
"18.0","0.24715513794454758","23.438599999999994","0.1299734115600586","11.413321495056152","46.55555555555556","Angular_L","49.82024673506343","false","Angular_L","1.7086680911616682E21"
"23.0","0.24692833214505422","19.486399999999993","0.10878819972276688","11.136366844177246","37.083333333333336","Hippocampus_L","40.743795637229475","false","Hippocampus_L","1.1970498848181484E21"
"25.0","0.19309878275303818","4.3795","0.017293941229581833","6.605795383453369","8.181818181818182","Frontal_Med_Orb_L","9.12857142857143","false","Frontal_Med_Orb_L","3.025078425016389E19"
"36.0","0.20245539458529876","6.5976","0.021897021681070328","8.051825523376465","10.588235294117647","Frontal_Med_Orb_R","14.151373626373626","false","Frontal_Med_Orb_R","4.849743479980425E19"
"8.0","0.19923310944911726","5.7444","0.023479050025343895","7.4035563468933105","10.714285714285714","ParaHippocampal_L","11.708041958041958","false","ParaHippocampal_L","5.5758323716613734E19"
"10.0","0.2244714949310941","9.1973","0.061559781432151794","9.305342674255371","22.8","Heschl_R","23.75","false","Heschl_R","3.833035457165724E20"
"321.0","0.2629069121747079","23.1905","0.13133126497268677","11.609814643859863","43.25423728813559","Temporal_Sup_R","51.26427874219619","false","Temporal_Sup_R","1.7445561506922769E21"
"358.0","0.23000869110661534","12.680800000000001","0.05898106470704079","10.141173362731934","19.454545454545453","Cerebelum_4_5_L","25.2097791398488","false","Cerebelum_4_5_L","3.518632482148293E20"
"642.0","0.261661152022068","20.306200000000004","0.10418327152729034","11.326515197753906","32.69230769230769","Vermis_4_5","41.689830126454055","false","Vermis_4_5","1.0978541623756393E21"
"173.0","0.26190687381917854","20.247000000000003","0.10355530679225922","11.326515197753906","32.30769230769231","Lingual_R","41.061734324603776","false","Lingual_R","1.0846594598923739E21"
"31.0","0.21811743140193704","13.369100000000003","0.08871474862098694","10.462678909301758","31.62162162162162","Occipital_Mid_L","33.012426900584785","false","Occipital_Mid_L","7.96050007315777E20"
"718.0","0.1719675872704807","3.5039","0.004659967962652445","5.600076198577881","4.0","Frontal_Sup_Orb_L","5.028571428571428","false","Frontal_Sup_Orb_L","2.19641576372672922E18"
"0.0","0.16523798464766046","2.6539","0.0024365305434912443","4.770090579986572","4.666666666666667","Frontal_Mid_Orb_L","5.6","false","Frontal_Mid_Orb_L","6.0047147491393536E17"
"46.0","0.1987440129427211","5.6129","0.016299143433570862","7.4035563468933105","9.285714285714286","Frontal_Sup_Orb_R","12.041758241758243","false","Frontal_Sup_Orb_R","2.687065460893863E19"
"86.0","0.2510568513490299","21.5024","0.117231585085392","11.413321495056152","38.2962962962963","Hippocampus_R","44.96483331511588","false","Hippocampus_R","1.390074164847248E21"
"28.0","0.1933605797589932","4.963399999999999","0.018435033038258553","7.156619548797607","8.615384615384615","ParaHippocampal_R","10.219696969696969","false","ParaHippocampal_R","3.43745114062308E19"
"228.0","0.2573899459596218","20.0652","0.11034351587295532","11.370555877685547","34.867924528301884","Lingual_L","42.26785595981138","false","Lingual_L","1.2315224066908792E21"
"5.0","0.21871457610733946","7.745","0.04468725621700287","8.58901309967041","16.9","Pallidum_R","17.8390092879257","false","Pallidum_R","2.019835757612415E20"
"236.0","0.23387300522237373","9.984399999999997","0.04219331219792366","9.305342674255371","14.64","Frontal_Inf_Orb_L","19.088312231247013","false","Frontal_Inf_Orb_L","1.8006774056050334E20"
"145.0","0.22922657038744174","9.3221","0.04188412427902222","9.17676067352295","14.666666666666666","Frontal_Inf_Orb_R","18.609448160535116","false","Frontal_Inf_Orb_R","1.7743837724993284E20"
"2.0","0.19876015986646173","4.8877","0.03361775726079941","7.4035563468933105","12.0","Temporal_Mid_R","12.923076923076925","false","Temporal_Mid_R","1.1431050647940628E20"
"95.0","0.20929076525226575","7.288099999999999","0.03969597816467285","8.58901309967041","13.8","Temporal_Mid_L","15.72374374851155","false","Temporal_Mid_L","1.593828833938511E20"
"32.0","0.16502098157351203","2.3358","0.0059838914312422276","4.770090579986572","3.3333333333333335","Cerebelum_3_L","4.8","false","Cerebelum_3_L","3.6217302789988024E18"
"178.0","0.19121305385700035","5.1309","0.018206238746643066","7.156619548797607","7.230769230769231","Vermis_3","10.05","false","Vermis_3","3.352657243693646E19"
"182.0","0.1968996444832157","5.6048","0.023956310003995895","7.63404655456543","9.333333333333334","Cerebelum_4_5_R","11.191558441558442","false","Cerebelum_4_5_R","5.804817103066654E19"
"0.0","0.15083222216631068","2.3630999999999998","0.0024365305434912443","4.770090579986572","4.666666666666667","Frontal_Mid_Orb_R","5.6","false","Frontal_Mid_Orb_R","6.0047147491393536E17"
"0.0","0.15860785028853908","1.9151000000000002","0.010019012726843357","4.292903900146484","4.0","Occipital_Mid_R","5.0","false","Occipital_Mid_R","1.0153097079069606E19"
"0.0","0.14547947758365715","1.3025","0.0011412104358896613","3.1796228885650635","2.0","Cerebelum_3_R","3.0","false","Cerebelum_3_R","1.3172862265327616E17"
"148.0","0.19380390657682395","6.380499999999998","0.025139490142464638","8.241734504699707","9.444444444444445","Fusiform_L","12.222788975730152","false","Fusiform_L","6.392365770429222E19"
"63.0","0.20858939308761487","5.279000000000001","0.02350926399230957","7.4035563468933105","10.857142857142858","Temporal_Pole_Sup_L","11.87692307692308","false","Temporal_Pole_Sup_L","5.590192433324779E19"
