source,target,Fisher_Z
Precentral_L,Frontal_Inf_Oper_L,0.7944
Cingulum_Mid_L,Cingulum_Post_R,0.7928
Insula_R,Putamen_L,0.791
Precentral_L,Precuneus_R,0.7908
Cingulum_Mid_L,Parietal_Inf_L,0.789
Supp_Motor_Area_L,Precuneus_L,0.7879
Calcarine_L,Calcarine_R,0.7866
Frontal_Sup_R,Paracentral_Lobule_L,0.7858
Precentral_L,Precuneus_L,0.7849
Parietal_Sup_L,Paracentral_Lobule_R,0.7845
Frontal_Sup_L,Postcentral_R,0.7811
Frontal_Inf_Oper_L,Insula_L,0.7784
Caudate_L,Caudate_R,0.7774
Supp_Motor_Area_L,Precuneus_R,0.7745
Precentral_L,Frontal_Inf_Oper_R,0.7737
Frontal_Sup_Medial_L,Postcentral_L,0.7733
Precentral_R,Cingulum_Post_L,0.7727
Frontal_Sup_Medial_R,Cingulum_Ant_L,0.7716
Parietal_Inf_L,Paracentral_Lobule_R,0.7681
Precentral_R,Parietal_Sup_L,0.7673
Frontal_Sup_R,Paracentral_Lobule_R,0.7652
Precentral_L,Paracentral_Lobule_R,0.7649
Cingulum_Mid_L,Parietal_Sup_L,0.7642
Precentral_L,Frontal_Sup_Medial_L,0.7639
Cingulum_Mid_R,Parietal_Sup_L,0.7618
Postcentral_L,SupraMarginal_L,0.761
Parietal_Sup_R,Parietal_Inf_L,0.7601
Parietal_Inf_L,SupraMarginal_L,0.7583
Cingulum_Mid_R,Parietal_Inf_L,0.7576
Frontal_Inf_Oper_L,Postcentral_L,0.7569
Parietal_Inf_L,Paracentral_Lobule_L,0.7568
Supp_Motor_Area_L,Frontal_Sup_Medial_R,0.7523
Putamen_L,Pallidum_L,0.7515
Frontal_Sup_L,Precuneus_R,0.7507
Frontal_Inf_Oper_R,Frontal_Sup_Medial_R,0.7468
Parietal_Inf_L,SupraMarginal_R,0.7445
Precentral_L,Cingulum_Post_L,0.7439
Frontal_Sup_L,Precuneus_L,0.7437
Precentral_R,Frontal_Sup_Medial_L,0.7425
Frontal_Inf_Oper_R,Postcentral_R,0.742
Frontal_Inf_Oper_R,Frontal_Sup_Medial_L,0.7408
SupraMarginal_R,Precuneus_R,0.7407
Cingulum_Post_L,Postcentral_R,0.7394
Frontal_Mid_R,Cingulum_Post_L,0.739
Insula_R,Cingulum_Ant_R,0.7367
Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,0.7356
Frontal_Mid_L,Postcentral_R,0.7326
Frontal_Sup_Medial_R,Postcentral_R,0.7323
Frontal_Inf_Tri_L,Frontal_Sup_Medial_L,0.7322
Frontal_Sup_Medial_R,Cingulum_Mid_L,0.732
Supp_Motor_Area_R,Parietal_Inf_L,0.7303
Supp_Motor_Area_R,Cingulum_Post_L,0.7268
Frontal_Sup_R,Cingulum_Post_L,0.7263
Precentral_R,Frontal_Sup_Medial_R,0.726
Rolandic_Oper_L,Temporal_Sup_L,0.7248
Frontal_Inf_Oper_R,Postcentral_L,0.7248
Frontal_Mid_L,Frontal_Inf_Oper_L,0.7238
Parietal_Inf_R,Angular_R,0.7236
Frontal_Mid_L,Frontal_Inf_Tri_R,0.7234
Frontal_Mid_R,Frontal_Inf_Tri_L,0.7225
Cingulum_Post_L,Parietal_Sup_L,0.7222
Caudate_L,Putamen_R,0.7209
Rolandic_Oper_L,Heschl_L,0.7203
Cuneus_L,Cuneus_R,0.7202
Cingulum_Post_L,Parietal_Inf_L,0.7194
Frontal_Mid_R,Parietal_Inf_L,0.7192
Supp_Motor_Area_L,Cingulum_Post_L,0.7186
SupraMarginal_R,Precuneus_L,0.7185
Caudate_L,Putamen_L,0.7178
Frontal_Mid_L,Precuneus_R,0.7177
Rolandic_Oper_R,Putamen_R,0.7176
Frontal_Sup_L,Paracentral_Lobule_R,0.7173
Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,0.7172
Frontal_Sup_Medial_L,Paracentral_Lobule_L,0.7165
Frontal_Mid_L,Frontal_Inf_Oper_R,0.7138
Supp_Motor_Area_L,Parietal_Inf_L,0.7126
Insula_R,Caudate_L,0.7121
Frontal_Sup_Medial_L,Postcentral_R,0.7102
Cingulum_Post_L,Postcentral_L,0.7076
Frontal_Mid_L,Precuneus_L,0.7071
Frontal_Sup_L,Cingulum_Post_L,0.7024
Parietal_Inf_L,Angular_L,0.7016
Postcentral_L,SupraMarginal_R,0.7005
Hippocampus_L,Thalamus_L,0.6992
