Region,Sub_Mean_Degree,Diag_Mean_Degree,Degree_Diff,U_Statistic,P_Value,P_Value_FDR,Significant_FDR,Effect_Size
Temporal_Pole_Mid_R,5.6405693945175175,2.410912076945701,-3.2296573175718164,960.0,0.0950693407922054,0.998430791042222,False,-0.1925465838509317
Cerebelum_7b_R,0.03930667527557141,0.0,-0.03930667527557141,828.0,0.2620747643138991,0.998430791042222,False,-0.02857142857142847
Cerebelum_6_R,9.58827473523161,5.252689867073409,-4.3355848681582,846.0,0.6918750408579126,0.998430791042222,False,-0.05093167701863344
Cerebelum_6_L,11.36475856074422,8.287861667878296,-3.076896892865923,817.0,0.9108438134085934,0.998430791042222,False,-0.014906832298136719
Cerebelum_4_5_R,17.494654837691733,18.21831585641835,0.7236610187266166,764.0,0.698668230315073,0.998430791042222,False,0.05093167701863355
Cerebelum_4_5_L,20.449263468598804,21.401728535153904,0.9524650665550993,770.0,0.7415753430828491,0.998430791042222,False,0.04347826086956519
Cerebelum_3_R,10.902952930349175,10.975437656408582,0.07248472605940748,791.5,0.9003660744412394,0.998430791042222,False,0.016770186335403725
Cerebelum_3_L,13.19725263794688,13.029514295442393,-0.16773834250448694,786.5,0.8623744795924374,0.998430791042222,False,0.02298136645962734
Cerebelum_Crus2_R,0.07693848527383984,0.13774428805752523,0.060805802783685386,801.0,0.9454132548528853,0.998430791042222,False,0.004968944099378869
Cerebelum_Crus2_L,0.2735189867490655,0.12222623544271834,-0.15129275130634717,945.5,0.048841287313446044,0.998430791042222,False,-0.17453416149068324
Cerebelum_Crus1_R,1.8054469307949579,0.6524558235032358,-1.152991107291722,761.0,0.5964983514935895,0.998430791042222,False,0.05465838509316767
Cerebelum_Crus1_L,2.99262894991429,0.5819051116591806,-2.4107238382551097,897.0,0.3228684410257948,0.998430791042222,False,-0.11428571428571432
Temporal_Inf_R,6.033579057581879,5.734946430796383,-0.29863262678549596,814.0,0.9340395241925332,0.998430791042222,False,-0.011180124223602483
Cerebelum_7b_L,0.0431777011679786,0.010500801801760764,-0.032676899366217836,811.0,0.8453480701067895,0.998430791042222,False,-0.007453416149068248
Postcentral_L,32.755011957835976,33.815654084787326,1.0606421269513504,771.0,0.7494339982909721,0.998430791042222,False,0.04223602484472044
Postcentral_R,31.777911280242435,32.60386696538226,0.8259556851398244,779.0,0.8079166653123115,0.998430791042222,False,0.032298136645962705
Fusiform_L,16.44373236119056,16.709026414664294,0.2652940534737347,797.0,0.9425642419346528,0.998430791042222,False,0.009937888198757738
Rectus_L,7.676214000770258,8.207252740785766,0.5310387400155072,839.0,0.7416240958767906,0.998430791042222,False,-0.04223602484472044
Frontal_Med_Orb_R,15.289859135543841,11.447754382733889,-3.842104752809952,897.5,0.37779980151441184,0.998430791042222,False,-0.11490683229813659
Frontal_Med_Orb_L,12.986754572721647,10.581041114689,-2.405713458032647,845.0,0.704935513290157,0.998430791042222,False,-0.049689440993788914
Frontal_Sup_Medial_R,29.980411199361257,31.661650319197115,1.6812391198358583,718.0,0.40955177523527464,0.998430791042222,False,0.10807453416149071
Frontal_Sup_Medial_L,31.20619690131409,31.40131575111868,0.19511884980459016,788.0,0.8750010042515137,0.998430791042222,False,0.02111801242236022
Olfactory_R,9.317038774888509,6.522151293762196,-2.794887481126313,933.0,0.21880716921045307,0.998430791042222,False,-0.15900621118012426
Olfactory_L,10.96920541244284,8.097430875641994,-2.871774536800846,841.0,0.7330854932129043,0.998430791042222,False,-0.044720496894409933
Supp_Motor_Area_R,31.144903901986755,31.658729203945423,0.5138253019586685,781.0,0.8227209374784461,0.998430791042222,False,0.029813664596273326
Supp_Motor_Area_L,30.54205496122675,31.68725825726394,1.1452032960371916,771.0,0.7494339982909721,0.998430791042222,False,0.04223602484472044
Rolandic_Oper_R,28.084834036914362,26.70648830825616,-1.3783457286582035,855.0,0.6369780166641172,0.998430791042222,False,-0.06211180124223592
Rolandic_Oper_L,28.248443313943685,28.48846433333083,0.24002101938714304,794.0,0.9202601811842476,0.998430791042222,False,0.013664596273291973
Frontal_Inf_Orb_R,18.27721164860167,14.159098446458717,-4.118113202142954,940.0,0.19830920219706094,0.998430791042222,False,-0.16770186335403725
Frontal_Inf_Orb_L,18.11238171150028,14.449129696594476,-3.6632520149058045,932.0,0.22601198240401543,0.998430791042222,False,-0.1577639751552795
Frontal_Inf_Tri_R,25.529115573838062,26.166985764876486,0.6378701910384237,780.0,0.8153105594220981,0.998430791042222,False,0.03105590062111796
Frontal_Inf_Tri_L,26.42268389583587,24.769626153864564,-1.6530577419713062,859.0,0.6100067333963222,0.998430791042222,False,-0.0670807453416149
Frontal_Inf_Oper_R,27.424524288089497,30.45574300777179,3.0312187196822933,719.0,0.41498716247939393,0.998430791042222,False,0.10683229813664596
Frontal_Inf_Oper_L,26.919905817870834,28.42975956791929,1.5098537500484568,765.0,0.7064789192302466,0.998430791042222,False,0.0496894409937888
Frontal_Mid_Orb_R,10.501189482074867,9.080199799989865,-1.4209896820850023,869.0,0.5438747318858741,0.998430791042222,False,-0.07950310559006213
Frontal_Mid_Orb_L,11.908622607633397,8.642793807659247,-3.26582879997415,860.0,0.6019459708777937,0.998430791042222,False,-0.06832298136645965
