Source,Target,Group,Avg_Fisher_Z,Avg_r
Middle Temporal Gyrus (posterior),Frontal Orbital Cortex,Diagnosed,0.1332,0.1324
Frontal Medial Cortex,Frontal Operculum Cortex,Diagnosed,0.1329,0.1321
Juxtapositional Lobule Cortex,Subcallosal Cortex,Diagnosed,0.1326,0.1318
Superior Temporal Gyrus (posterior),Middle Temporal Gyrus (temporooccipital),Diagnosed,0.132,0.1312
Superior Temporal Gyrus (anterior),Superior Parietal Lobule,Diagnosed,0.1319,0.1311
Superior Temporal Gyrus (posterior),Paracingulate Gyrus,Diagnosed,0.1311,0.1303
Inferior Temporal Gyrus (temporooccipital),Temporal Fusiform Cortex (anterior),Diagnosed,0.1301,0.1294
Intracalcarine Cortex,Paracingulate Gyrus,Diagnosed,0.13,0.1293
Superior Temporal Gyrus (anterior),Parahippocampal Gyrus (anterior),Diagnosed,0.1293,0.1286
Inferior Temporal Gyrus (anterior),Frontal Orbital Cortex,Diagnosed,0.1288,0.1281
Lateral Occipital Cortex (superior),Temporal Occipital Fusiform Cortex,Diagnosed,0.1287,0.128
Middle Frontal Gyrus,Lateral Occipital Cortex (inferior),Diagnosed,0.1284,0.1277
Inferior Frontal Gyrus (pars opercularis),Inferior Temporal Gyrus (posterior),Diagnosed,0.1282,0.1275
Middle Temporal Gyrus (posterior),Precuneous Cortex,Diagnosed,0.1281,0.1274
Inferior Frontal Gyrus (pars triangularis),Parahippocampal Gyrus (posterior),Diagnosed,0.128,0.1273
Superior Temporal Gyrus (posterior),Frontal Orbital Cortex,Diagnosed,0.1276,0.127
Middle Temporal Gyrus (temporooccipital),Temporal Occipital Fusiform Cortex,Diagnosed,0.1275,0.1268
Lateral Occipital Cortex (superior),Intracalcarine Cortex,Diagnosed,0.1269,0.1262
Middle Temporal Gyrus (posterior),Temporal Occipital Fusiform Cortex,Diagnosed,0.1259,0.1252
Temporal Pole,Frontal Medial Cortex,Diagnosed,0.1255,0.1248
Insular Cortex,Juxtapositional Lobule Cortex,Diagnosed,0.1254,0.1247
Superior Temporal Gyrus (posterior),Planum Polare,Diagnosed,0.1238,0.1232
Middle Temporal Gyrus (posterior),Inferior Temporal Gyrus (temporooccipital),Diagnosed,0.1224,0.1218
Inferior Temporal Gyrus (posterior),Lateral Occipital Cortex (superior),Diagnosed,0.1217,0.1211
Lateral Occipital Cortex (superior),Planum Polare,Diagnosed,0.1217,0.1211
Frontal Pole,Inferior Temporal Gyrus (posterior),Diagnosed,0.1195,0.1189
Inferior Temporal Gyrus (posterior),Parahippocampal Gyrus (anterior),Diagnosed,0.1181,0.1176
Superior Temporal Gyrus (anterior),Cingulate Gyrus (posterior),Diagnosed,0.1173,0.1168
Lateral Occipital Cortex (superior),Planum Temporale,Diagnosed,0.1169,0.1164
Inferior Temporal Gyrus (posterior),Lingual Gyrus,Diagnosed,0.1168,0.1163
Superior Frontal Gyrus,Lateral Occipital Cortex (superior),Diagnosed,0.1167,0.1162
Juxtapositional Lobule Cortex,Paracingulate Gyrus,Diagnosed,0.1163,0.1158
Inferior Frontal Gyrus (pars triangularis),Lateral Occipital Cortex (superior),Diagnosed,0.1162,0.1157
Temporal Pole,Superior Temporal Gyrus (posterior),Diagnosed,0.1153,0.1148
Superior Temporal Gyrus (posterior),Intracalcarine Cortex,Diagnosed,0.1141,0.1136
Middle Temporal Gyrus (posterior),Superior Parietal Lobule,Diagnosed,0.1138,0.1134
Lateral Occipital Cortex (inferior),Planum Temporale,Diagnosed,0.1138,0.1133
Frontal Pole,Juxtapositional Lobule Cortex,Diagnosed,0.1138,0.1133
Middle Temporal Gyrus (anterior),Precuneous Cortex,Diagnosed,0.1136,0.1131
Frontal Pole,Lateral Occipital Cortex (superior),Diagnosed,0.1134,0.113
Superior Temporal Gyrus (posterior),Lingual Gyrus,Diagnosed,0.1133,0.1128
Middle Temporal Gyrus (temporooccipital),Cuneal Cortex,Diagnosed,0.1133,0.1128
Inferior Temporal Gyrus (anterior),Supramarginal Gyrus (posterior),Diagnosed,0.113,0.1126
Lateral Occipital Cortex (inferior),Central Opercular Cortex,Diagnosed,0.1124,0.112
Lateral Occipital Cortex (inferior),Juxtapositional Lobule Cortex,Diagnosed,0.1121,0.1117
Inferior Frontal Gyrus (pars opercularis),Temporal Fusiform Cortex (anterior),Diagnosed,0.1121,0.1116
Intracalcarine Cortex,Lingual Gyrus,Diagnosed,-0.1117,-0.1112
Inferior Temporal Gyrus (posterior),Frontal Operculum Cortex,Diagnosed,0.1115,0.1111
Inferior Frontal Gyrus (pars opercularis),Inferior Temporal Gyrus (anterior),Diagnosed,0.1112,0.1107
Lateral Occipital Cortex (superior),Precuneous Cortex,Diagnosed,0.111,0.1105
Cingulate Gyrus (anterior),Temporal Fusiform Cortex (anterior),Diagnosed,0.1105,0.11
Temporal Pole,Postcentral Gyrus,Diagnosed,0.1091,0.1086
Frontal Orbital Cortex,Frontal Operculum Cortex,Diagnosed,0.1084,0.108
Middle Temporal Gyrus (posterior),Cingulate Gyrus (posterior),Diagnosed,0.1085,0.108
Middle Temporal Gyrus (temporooccipital),Superior Parietal Lobule,Diagnosed,0.108,0.1075
Middle Temporal Gyrus (posterior),Lingual Gyrus,Diagnosed,0.1075,0.1071
Insular Cortex,Planum Temporale,Diagnosed,0.1072,0.1068
Middle Temporal Gyrus (anterior),Temporal Fusiform Cortex (anterior),Diagnosed,0.1072,0.1068
Inferior Frontal Gyrus (pars triangularis),Inferior Temporal Gyrus (anterior),Diagnosed,0.1071,0.1067
Subcallosal Cortex,Temporal Fusiform Cortex (anterior),Diagnosed,0.1071,0.1066
Temporal Pole,Parahippocampal Gyrus (posterior),Diagnosed,0.1068,0.1064
Superior Temporal Gyrus (posterior),Cuneal Cortex,Diagnosed,0.1066,0.1062
Frontal Medial Cortex,Temporal Fusiform Cortex (anterior),Diagnosed,0.1041,0.1037
Insular Cortex,Inferior Temporal Gyrus (anterior),Diagnosed,-0.1032,-0.1028
Superior Temporal Gyrus (anterior),Temporal Fusiform Cortex (anterior),Diagnosed,0.1028,0.1025
Insular Cortex,Middle Temporal Gyrus (temporooccipital),Diagnosed,0.1029,0.1025
Intracalcarine Cortex,Cingulate Gyrus (anterior),Diagnosed,0.1022,0.1019
Superior Frontal Gyrus,Superior Temporal Gyrus (anterior),Diagnosed,0.1021,0.1017
Temporal Fusiform Cortex (anterior),Occipital Fusiform Gyrus,Diagnosed,0.1015,0.1012
Inferior Temporal Gyrus (anterior),Precuneous Cortex,Diagnosed,0.1012,0.1008
Superior Temporal Gyrus (anterior),Lateral Occipital Cortex (superior),Diagnosed,0.1012,0.1008
Superior Temporal Gyrus (anterior),Juxtapositional Lobule Cortex,Diagnosed,0.101,0.1006
Inferior Temporal Gyrus (anterior),Parietal Operculum Cortex,Diagnosed,0.1005,0.1002
Superior Temporal Gyrus (posterior),Middle Temporal Gyrus (anterior),Diagnosed,0.1,0.0997
Juxtapositional Lobule Cortex,Temporal Fusiform Cortex (anterior),Diagnosed,0.1,0.0996
Superior Temporal Gyrus (anterior),Parietal Operculum Cortex,Diagnosed,0.0997,0.0994
Inferior Temporal Gyrus (posterior),Central Opercular Cortex,Diagnosed,-0.0992,-0.0989
Inferior Temporal Gyrus (posterior),Frontal Orbital Cortex,Diagnosed,0.0993,0.0989
Precentral Gyrus,Temporal Fusiform Cortex (anterior),Diagnosed,0.0986,0.0983
Precentral Gyrus,Middle Temporal Gyrus (posterior),Diagnosed,0.0983,0.098
Inferior Frontal Gyrus (pars triangularis),Intracalcarine Cortex,Diagnosed,0.0975,0.0971
Inferior Temporal Gyrus (anterior),Cingulate Gyrus (anterior),Diagnosed,0.0972,0.0969
Superior Temporal Gyrus (posterior),Subcallosal Cortex,Diagnosed,0.0972,0.0969
Inferior Temporal Gyrus (anterior),Lingual Gyrus,Diagnosed,0.0968,0.0965
Inferior Temporal Gyrus (temporooccipital),Lateral Occipital Cortex (superior),Diagnosed,0.0968,0.0965
Lingual Gyrus,Frontal Operculum Cortex,Diagnosed,0.0966,0.0963
Superior Temporal Gyrus (anterior),Parahippocampal Gyrus (posterior),Diagnosed,0.0964,0.0961
Inferior Frontal Gyrus (pars triangularis),Planum Temporale,Diagnosed,0.0963,0.096
Frontal Pole,Temporal Fusiform Cortex (anterior),Diagnosed,0.0962,0.0959
Inferior Temporal Gyrus (anterior),Subcallosal Cortex,Diagnosed,0.0958,0.0955
Postcentral Gyrus,Temporal Fusiform Cortex (anterior),Diagnosed,0.0957,0.0954
Middle Temporal Gyrus (temporooccipital),Precuneous Cortex,Diagnosed,0.0953,0.095
Superior Temporal Gyrus (anterior),Frontal Medial Cortex,Diagnosed,0.0948,0.0945
Juxtapositional Lobule Cortex,Planum Temporale,Diagnosed,0.0947,0.0944
Postcentral Gyrus,Frontal Operculum Cortex,Diagnosed,0.0945,0.0942
Insular Cortex,Middle Temporal Gyrus (posterior),Diagnosed,0.0943,0.094
Middle Temporal Gyrus (posterior),Supramarginal Gyrus (posterior),Diagnosed,0.0937,0.0934
Middle Temporal Gyrus (anterior),Middle Temporal Gyrus (posterior),Diagnosed,0.0937,0.0934
Middle Temporal Gyrus (posterior),Middle Temporal Gyrus (temporooccipital),Diagnosed,0.0934,0.0931
Postcentral Gyrus,Lateral Occipital Cortex (superior),Diagnosed,0.0933,0.093
Supramarginal Gyrus (posterior),Lateral Occipital Cortex (superior),Diagnosed,0.0928,0.0926
Superior Temporal Gyrus (anterior),Planum Temporale,Diagnosed,0.0928,0.0926
Middle Temporal Gyrus (anterior),Parahippocampal Gyrus (anterior),Diagnosed,0.0926,0.0924
Middle Temporal Gyrus (temporooccipital),Lateral Occipital Cortex (superior),Diagnosed,0.092,0.0917
Middle Temporal Gyrus (posterior),Juxtapositional Lobule Cortex,Diagnosed,-0.0919,-0.0916
Insular Cortex,Temporal Fusiform Cortex (anterior),Diagnosed,0.0917,0.0915
Temporal Fusiform Cortex (anterior),Planum Temporale,Diagnosed,0.0916,0.0913
Lateral Occipital Cortex (superior),Frontal Medial Cortex,Diagnosed,0.0915,0.0913
Lateral Occipital Cortex (superior),Paracingulate Gyrus,Diagnosed,0.0912,0.0909
Middle Temporal Gyrus (temporooccipital),Frontal Operculum Cortex,Diagnosed,0.0909,0.0907
Superior Frontal Gyrus,Intracalcarine Cortex,Diagnosed,0.0904,0.0902
Superior Temporal Gyrus (posterior),Planum Temporale,Diagnosed,0.0904,0.0901
Angular Gyrus,Juxtapositional Lobule Cortex,Diagnosed,0.0898,0.0896
Superior Temporal Gyrus (anterior),Cuneal Cortex,Diagnosed,0.0897,0.0895
Lingual Gyrus,Temporal Fusiform Cortex (anterior),Diagnosed,0.0893,0.0891
Inferior Temporal Gyrus (anterior),Temporal Fusiform Cortex (posterior),Diagnosed,0.0888,0.0886
Superior Frontal Gyrus,Temporal Fusiform Cortex (anterior),Diagnosed,0.0885,0.0883
Middle Temporal Gyrus (anterior),Lateral Occipital Cortex (inferior),Diagnosed,0.0884,0.0882
Middle Temporal Gyrus (posterior),Paracingulate Gyrus,Diagnosed,0.0869,0.0867
Temporal Fusiform Cortex (posterior),Central Opercular Cortex,Diagnosed,0.0856,0.0854
Lateral Occipital Cortex (superior),Cingulate Gyrus (posterior),Diagnosed,0.0848,0.0846
Lateral Occipital Cortex (superior),Parietal Operculum Cortex,Diagnosed,0.0848,0.0846
Intracalcarine Cortex,Frontal Medial Cortex,Diagnosed,0.0842,0.084
Cingulate Gyrus (posterior),Temporal Fusiform Cortex (anterior),Diagnosed,0.0823,0.0821
Middle Temporal Gyrus (posterior),Subcallosal Cortex,Diagnosed,0.0822,0.082
Inferior Temporal Gyrus (anterior),Occipital Fusiform Gyrus,Diagnosed,0.0821,0.0819
Intracalcarine Cortex,Cingulate Gyrus (posterior),Diagnosed,0.0813,0.0811
Intracalcarine Cortex,Parahippocampal Gyrus (posterior),Diagnosed,-0.0803,-0.0801
Superior Frontal Gyrus,Temporal Pole,Diagnosed,0.0791,0.0789
Lateral Occipital Cortex (superior),Juxtapositional Lobule Cortex,Diagnosed,0.0789,0.0788
Inferior Temporal Gyrus (anterior),Intracalcarine Cortex,Diagnosed,-0.0787,-0.0786
Frontal Pole,Planum Temporale,Diagnosed,0.0786,0.0785
Parahippocampal Gyrus (anterior),Planum Temporale,Diagnosed,0.0784,0.0783
Superior Temporal Gyrus (anterior),Lingual Gyrus,Diagnosed,0.0783,0.0782
Middle Temporal Gyrus (posterior),Supramarginal Gyrus (anterior),Diagnosed,0.078,0.0778
Supramarginal Gyrus (anterior),Planum Temporale,Diagnosed,0.0777,0.0775
Lateral Occipital Cortex (superior),Temporal Fusiform Cortex (posterior),Diagnosed,0.0775,0.0774
Middle Temporal Gyrus (posterior),Planum Temporale,Diagnosed,0.0772,0.0771
Precentral Gyrus,Lateral Occipital Cortex (superior),Diagnosed,0.0769,0.0768
Lateral Occipital Cortex (superior),Cingulate Gyrus (anterior),Diagnosed,0.077,0.0768
Temporal Pole,Frontal Orbital Cortex,Diagnosed,0.0767,0.0766
Temporal Fusiform Cortex (anterior),Planum Polare,Diagnosed,0.0766,0.0765
Middle Temporal Gyrus (temporooccipital),Intracalcarine Cortex,Diagnosed,-0.0764,-0.0763
Superior Temporal Gyrus (posterior),Frontal Operculum Cortex,Diagnosed,0.0763,0.0762
Supramarginal Gyrus (posterior),Planum Temporale,Diagnosed,0.0762,0.076
Middle Frontal Gyrus,Intracalcarine Cortex,Diagnosed,0.076,0.0759
Middle Temporal Gyrus (posterior),Parahippocampal Gyrus (anterior),Diagnosed,0.0759,0.0757
Juxtapositional Lobule Cortex,Central Opercular Cortex,Diagnosed,0.0756,0.0755
Supramarginal Gyrus (anterior),Temporal Fusiform Cortex (anterior),Diagnosed,0.0754,0.0753
Middle Temporal Gyrus (anterior),Subcallosal Cortex,Diagnosed,0.0753,0.0752
Precentral Gyrus,Inferior Temporal Gyrus (posterior),Diagnosed,0.075,0.0749
Inferior Frontal Gyrus (pars triangularis),Inferior Temporal Gyrus (posterior),Diagnosed,0.0747,0.0745
Frontal Orbital Cortex,Temporal Fusiform Cortex (anterior),Diagnosed,0.0742,0.0741
Superior Frontal Gyrus,Juxtapositional Lobule Cortex,Diagnosed,0.0732,0.0731
Middle Frontal Gyrus,Temporal Fusiform Cortex (anterior),Diagnosed,0.073,0.0729
Inferior Temporal Gyrus (anterior),Temporal Occipital Fusiform Cortex,Diagnosed,-0.0727,-0.0725
Juxtapositional Lobule Cortex,Cingulate Gyrus (anterior),Diagnosed,0.072,0.0719
Parahippocampal Gyrus (posterior),Temporal Fusiform Cortex (anterior),Diagnosed,0.0719,0.0718
Inferior Temporal Gyrus (anterior),Cingulate Gyrus (posterior),Diagnosed,0.0708,0.0707
Juxtapositional Lobule Cortex,Parahippocampal Gyrus (anterior),Diagnosed,0.0706,0.0705
Middle Temporal Gyrus (anterior),Superior Parietal Lobule,Diagnosed,0.0704,0.0703
Temporal Pole,Planum Temporale,Diagnosed,0.0699,0.0698
Paracingulate Gyrus,Temporal Fusiform Cortex (anterior),Diagnosed,0.0694,0.0693
Supramarginal Gyrus (anterior),Juxtapositional Lobule Cortex,Diagnosed,0.0692,0.0691
Superior Frontal Gyrus,Planum Temporale,Diagnosed,0.0688,0.0687
Inferior Temporal Gyrus (posterior),Cuneal Cortex,Diagnosed,0.0684,0.0683
Superior Frontal Gyrus,Inferior Temporal Gyrus (anterior),Diagnosed,0.0679,0.0678
Superior Parietal Lobule,Planum Temporale,Diagnosed,0.0676,0.0675
Superior Temporal Gyrus (posterior),Temporal Fusiform Cortex (anterior),Diagnosed,0.0675,0.0674
Subcallosal Cortex,Planum Temporale,Diagnosed,0.0674,0.0673
Angular Gyrus,Temporal Fusiform Cortex (anterior),Diagnosed,0.0673,0.0672
Supramarginal Gyrus (posterior),Temporal Fusiform Cortex (anterior),Diagnosed,0.067,0.0669
Middle Temporal Gyrus (anterior),Frontal Orbital Cortex,Diagnosed,0.067,0.0669
Juxtapositional Lobule Cortex,Planum Polare,Diagnosed,0.0663,0.0662
Superior Parietal Lobule,Temporal Fusiform Cortex (anterior),Diagnosed,0.0662,0.0661
Middle Temporal Gyrus (anterior),Supramarginal Gyrus (posterior),Diagnosed,0.0661,0.066
Inferior Temporal Gyrus (posterior),Inferior Temporal Gyrus (temporooccipital),Diagnosed,0.0661,0.066
Insular Cortex,Inferior Temporal Gyrus (posterior),Diagnosed,0.0656,0.0655
Superior Temporal Gyrus (anterior),Middle Temporal Gyrus (posterior),Diagnosed,-0.0652,-0.0651
Middle Frontal Gyrus,Middle Temporal Gyrus (temporooccipital),Diagnosed,0.0649,0.0648
Middle Temporal Gyrus (posterior),Frontal Operculum Cortex,Diagnosed,-0.0645,-0.0644
Inferior Temporal Gyrus (anterior),Parahippocampal Gyrus (anterior),Diagnosed,0.0633,0.0632
Middle Temporal Gyrus (anterior),Intracalcarine Cortex,Diagnosed,-0.0632,-0.0631
Middle Temporal Gyrus (anterior),Temporal Fusiform Cortex (posterior),Diagnosed,-0.063,-0.063
Parahippocampal Gyrus (posterior),Planum Temporale,Diagnosed,-0.0625,-0.0624
Inferior Temporal Gyrus (anterior),Lateral Occipital Cortex (inferior),Diagnosed,0.0622,0.0622
Inferior Temporal Gyrus (temporooccipital),Planum Temporale,Diagnosed,0.0621,0.062
Inferior Frontal Gyrus (pars triangularis),Central Opercular Cortex,Diagnosed,0.0619,0.0619
Inferior Temporal Gyrus (anterior),Paracingulate Gyrus,Diagnosed,0.0615,0.0614
Juxtapositional Lobule Cortex,Parahippocampal Gyrus (posterior),Diagnosed,0.0605,0.0604
Middle Temporal Gyrus (temporooccipital),Temporal Fusiform Cortex (anterior),Diagnosed,0.0594,0.0594
Middle Temporal Gyrus (posterior),Postcentral Gyrus,Diagnosed,0.0593,0.0593
Superior Temporal Gyrus (anterior),Superior Temporal Gyrus (posterior),Diagnosed,0.0593,0.0592
Middle Temporal Gyrus (posterior),Cingulate Gyrus (anterior),Diagnosed,0.0593,0.0592
Middle Temporal Gyrus (anterior),Planum Polare,Diagnosed,0.0586,0.0585
Cingulate Gyrus (posterior),Planum Temporale,Diagnosed,0.0583,0.0583
Inferior Frontal Gyrus (pars opercularis),Planum Temporale,Diagnosed,0.0583,0.0582
Inferior Frontal Gyrus (pars triangularis),Juxtapositional Lobule Cortex,Diagnosed,0.058,0.058
Temporal Fusiform Cortex (anterior),Parietal Operculum Cortex,Diagnosed,0.0576,0.0576
Temporal Pole,Inferior Temporal Gyrus (anterior),Diagnosed,-0.0576,-0.0575
Inferior Frontal Gyrus (pars triangularis),Temporal Fusiform Cortex (anterior),Diagnosed,0.0573,0.0572
Temporal Fusiform Cortex (anterior),Frontal Operculum Cortex,Diagnosed,0.0571,0.057
Intracalcarine Cortex,Parahippocampal Gyrus (anterior),Diagnosed,0.0564,0.0563
Postcentral Gyrus,Planum Temporale,Diagnosed,0.0563,0.0562
Frontal Pole,Inferior Temporal Gyrus (anterior),Diagnosed,0.0557,0.0556
Inferior Temporal Gyrus (anterior),Temporal Fusiform Cortex (anterior),Diagnosed,0.0553,0.0553
Angular Gyrus,Planum Temporale,Diagnosed,0.0549,0.0548
Inferior Temporal Gyrus (anterior),Postcentral Gyrus,Diagnosed,0.0548,0.0548
Middle Temporal Gyrus (posterior),Inferior Temporal Gyrus (posterior),Diagnosed,-0.0544,-0.0543
Middle Frontal Gyrus,Middle Temporal Gyrus (posterior),Diagnosed,0.0544,0.0543
Intracalcarine Cortex,Temporal Fusiform Cortex (anterior),Diagnosed,0.0542,0.0541
Middle Temporal Gyrus (posterior),Planum Polare,Diagnosed,0.0537,0.0537
Inferior Frontal Gyrus (pars opercularis),Central Opercular Cortex,Diagnosed,0.0537,0.0536
Middle Temporal Gyrus (anterior),Frontal Operculum Cortex,Diagnosed,0.0534,0.0534
Middle Temporal Gyrus (anterior),Occipital Fusiform Gyrus,Diagnosed,0.0533,0.0532
Middle Temporal Gyrus (temporooccipital),Planum Temporale,Diagnosed,0.053,0.0529
Middle Temporal Gyrus (posterior),Cuneal Cortex,Diagnosed,0.0525,0.0524
Frontal Medial Cortex,Juxtapositional Lobule Cortex,Diagnosed,0.0524,0.0523
Inferior Temporal Gyrus (posterior),Cingulate Gyrus (anterior),Diagnosed,0.0521,0.0521
Juxtapositional Lobule Cortex,Cuneal Cortex,Diagnosed,0.0511,0.0511
Superior Temporal Gyrus (anterior),Middle Temporal Gyrus (temporooccipital),Diagnosed,0.0506,0.0505
Cingulate Gyrus (anterior),Planum Temporale,Diagnosed,0.0501,0.0501
Middle Frontal Gyrus,Frontal Operculum Cortex,Diagnosed,0.0498,0.0498
Precentral Gyrus,Inferior Temporal Gyrus (anterior),Diagnosed,0.0497,0.0497
Temporal Fusiform Cortex (posterior),Planum Temporale,Diagnosed,0.0494,0.0493
Middle Temporal Gyrus (anterior),Frontal Medial Cortex,Diagnosed,0.0488,0.0487
Inferior Temporal Gyrus (anterior),Cuneal Cortex,Diagnosed,0.0487,0.0487
Temporal Fusiform Cortex (anterior),Temporal Fusiform Cortex (posterior),Diagnosed,0.0483,0.0482
Inferior Temporal Gyrus (posterior),Intracalcarine Cortex,Diagnosed,-0.048,-0.048
Middle Frontal Gyrus,Inferior Temporal Gyrus (anterior),Diagnosed,0.0479,0.0479
Superior Parietal Lobule,Juxtapositional Lobule Cortex,Diagnosed,0.0477,0.0476
Superior Temporal Gyrus (anterior),Frontal Orbital Cortex,Diagnosed,0.0472,0.0471
Supramarginal Gyrus (posterior),Juxtapositional Lobule Cortex,Diagnosed,0.0469,0.0469
Occipital Fusiform Gyrus,Planum Temporale,Diagnosed,0.0468,0.0468
Superior Temporal Gyrus (posterior),Inferior Temporal Gyrus (posterior),Diagnosed,-0.0458,-0.0457
Middle Temporal Gyrus (anterior),Inferior Temporal Gyrus (posterior),Diagnosed,-0.0455,-0.0454
Middle Temporal Gyrus (anterior),Lateral Occipital Cortex (superior),Diagnosed,0.0454,0.0454
Inferior Temporal Gyrus (posterior),Cingulate Gyrus (posterior),Diagnosed,0.0451,0.0451
Paracingulate Gyrus,Planum Temporale,Diagnosed,0.0451,0.0451
Middle Temporal Gyrus (anterior),Central Opercular Cortex,Diagnosed,0.045,0.0449
Juxtapositional Lobule Cortex,Lingual Gyrus,Diagnosed,-0.0449,-0.0448
Temporal Pole,Temporal Fusiform Cortex (anterior),Diagnosed,-0.0426,-0.0426
Temporal Pole,Middle Temporal Gyrus (anterior),Diagnosed,0.0423,0.0423
Inferior Temporal Gyrus (posterior),Supramarginal Gyrus (anterior),Diagnosed,0.0416,0.0416
Inferior Frontal Gyrus (pars opercularis),Intracalcarine Cortex,Diagnosed,0.0411,0.0411
Inferior Temporal Gyrus (posterior),Postcentral Gyrus,Diagnosed,0.0404,0.0404
Frontal Pole,Superior Temporal Gyrus (posterior),Diagnosed,0.0404,0.0404
Inferior Temporal Gyrus (anterior),Planum Temporale,Diagnosed,-0.0399,-0.0399
Inferior Temporal Gyrus (posterior),Occipital Fusiform Gyrus,Diagnosed,0.0398,0.0398
Inferior Temporal Gyrus (anterior),Superior Parietal Lobule,Diagnosed,-0.0387,-0.0387
Juxtapositional Lobule Cortex,Temporal Fusiform Cortex (posterior),Diagnosed,0.0386,0.0385
Superior Frontal Gyrus,Middle Temporal Gyrus (anterior),Diagnosed,0.0384,0.0384
Inferior Temporal Gyrus (anterior),Planum Polare,Diagnosed,0.0381,0.0381
Inferior Temporal Gyrus (anterior),Frontal Medial Cortex,Diagnosed,0.038,0.038
Lateral Occipital Cortex (superior),Lingual Gyrus,Diagnosed,0.0377,0.0377
Middle Temporal Gyrus (temporooccipital),Inferior Temporal Gyrus (anterior),Diagnosed,0.0375,0.0374
Lateral Occipital Cortex (inferior),Intracalcarine Cortex,Diagnosed,-0.037,-0.037
Inferior Temporal Gyrus (posterior),Angular Gyrus,Diagnosed,0.0369,0.0369
Central Opercular Cortex,Planum Temporale,Diagnosed,0.0369,0.0369
Middle Frontal Gyrus,Lateral Occipital Cortex (superior),Diagnosed,0.0366,0.0366
Temporal Fusiform Cortex (anterior),Temporal Occipital Fusiform Cortex,Diagnosed,0.0364,0.0364
Middle Temporal Gyrus (anterior),Angular Gyrus,Diagnosed,0.0355,0.0354
Juxtapositional Lobule Cortex,Cingulate Gyrus (posterior),Diagnosed,0.0354,0.0354
Precentral Gyrus,Superior Temporal Gyrus (anterior),Diagnosed,0.035,0.035
Inferior Temporal Gyrus (posterior),Planum Temporale,Diagnosed,-0.0339,-0.0339
Inferior Temporal Gyrus (posterior),Subcallosal Cortex,Diagnosed,0.0339,0.0339
Lateral Occipital Cortex (superior),Central Opercular Cortex,Diagnosed,0.0333,0.0333
Superior Temporal Gyrus (anterior),Inferior Temporal Gyrus (posterior),Diagnosed,-0.0333,-0.0333
Juxtapositional Lobule Cortex,Precuneous Cortex,Diagnosed,0.033,0.033
Juxtapositional Lobule Cortex,Parietal Operculum Cortex,Diagnosed,-0.0326,-0.0326
Cuneal Cortex,Planum Temporale,Diagnosed,0.0325,0.0325
Intracalcarine Cortex,Temporal Fusiform Cortex (posterior),Diagnosed,-0.0317,-0.0317
Frontal Pole,Middle Temporal Gyrus (anterior),Diagnosed,-0.0315,-0.0315
Superior Temporal Gyrus (posterior),Lateral Occipital Cortex (inferior),Diagnosed,0.0314,0.0314
Inferior Temporal Gyrus (posterior),Parietal Operculum Cortex,Diagnosed,-0.0311,-0.0311
Frontal Pole,Middle Temporal Gyrus (posterior),Diagnosed,0.0303,0.0303
Inferior Temporal Gyrus (anterior),Central Opercular Cortex,Diagnosed,0.0295,0.0295
Cuneal Cortex,Temporal Fusiform Cortex (anterior),Diagnosed,-0.0291,-0.0291
Middle Temporal Gyrus (posterior),Intracalcarine Cortex,Diagnosed,-0.0284,-0.0284
Middle Temporal Gyrus (anterior),Paracingulate Gyrus,Diagnosed,0.0283,0.0283
Inferior Temporal Gyrus (posterior),Temporal Occipital Fusiform Cortex,Diagnosed,0.0269,0.0269
Inferior Temporal Gyrus (anterior),Supramarginal Gyrus (anterior),Diagnosed,-0.0269,-0.0269
Middle Temporal Gyrus (anterior),Supramarginal Gyrus (anterior),Diagnosed,0.0262,0.0262
Inferior Frontal Gyrus (pars opercularis),Middle Temporal Gyrus (posterior),Diagnosed,-0.026,-0.026
Inferior Temporal Gyrus (posterior),Temporal Fusiform Cortex (anterior),Diagnosed,0.0252,0.0252
Inferior Temporal Gyrus (posterior),Parahippocampal Gyrus (posterior),Diagnosed,0.0252,0.0252
Juxtapositional Lobule Cortex,Occipital Fusiform Gyrus,Diagnosed,0.0246,0.0246
Frontal Medial Cortex,Planum Temporale,Diagnosed,0.0245,0.0245
Temporal Fusiform Cortex (anterior),Central Opercular Cortex,Diagnosed,0.0243,0.0243
Inferior Frontal Gyrus (pars triangularis),Superior Temporal Gyrus (posterior),Diagnosed,0.0243,0.0243
Temporal Pole,Inferior Temporal Gyrus (posterior),Diagnosed,0.0241,0.0241
Middle Temporal Gyrus (posterior),Lateral Occipital Cortex (superior),Diagnosed,-0.0241,-0.0241
Parietal Operculum Cortex,Planum Temporale,Diagnosed,0.0238,0.0238
Lingual Gyrus,Planum Temporale,Diagnosed,-0.0235,-0.0235
Inferior Frontal Gyrus (pars triangularis),Middle Temporal Gyrus (anterior),Diagnosed,-0.0235,-0.0235
Middle Frontal Gyrus,Planum Temporale,Diagnosed,-0.0232,-0.0232
Middle Temporal Gyrus (anterior),Parietal Operculum Cortex,Diagnosed,0.0224,0.0224
Middle Temporal Gyrus (temporooccipital),Central Opercular Cortex,Diagnosed,0.0223,0.0223
Superior Temporal Gyrus (posterior),Lateral Occipital Cortex (superior),Diagnosed,0.0213,0.0213
Middle Temporal Gyrus (anterior),Juxtapositional Lobule Cortex,Diagnosed,0.021,0.021
