Source,Target,Group,Avg_Fisher_Z,Avg_r
Superior Frontal Gyrus,Central Opercular Cortex,Diagnosed,0.4396,0.4133
Parahippocampal Gyrus (anterior),Temporal Fusiform Cortex (posterior),Diagnosed,0.4384,0.4123
Inferior Temporal Gyrus (temporooccipital),Central Opercular Cortex,Diagnosed,0.438,0.412
Supramarginal Gyrus (posterior),Frontal Medial Cortex,Diagnosed,0.4379,0.4119
Cingulate Gyrus (posterior),Temporal Occipital Fusiform Cortex,Diagnosed,0.4371,0.4112
Cingulate Gyrus (posterior),Precuneous Cortex,Diagnosed,0.435,0.4095
Cingulate Gyrus (anterior),Frontal Orbital Cortex,Diagnosed,0.4348,0.4094
Angular Gyrus,Frontal Medial Cortex,Diagnosed,0.4342,0.4088
Inferior Frontal Gyrus (pars triangularis),Planum Polare,Diagnosed,0.4337,0.4084
Supramarginal Gyrus (posterior),Parahippocampal Gyrus (anterior),Diagnosed,0.4322,0.4072
Cingulate Gyrus (anterior),Temporal Occipital Fusiform Cortex,Diagnosed,0.4284,0.4039
Cingulate Gyrus (anterior),Planum Polare,Diagnosed,0.4283,0.4039
Insular Cortex,Lateral Occipital Cortex (inferior),Diagnosed,0.4264,0.4023
Postcentral Gyrus,Central Opercular Cortex,Diagnosed,0.4234,0.3998
Cingulate Gyrus (posterior),Central Opercular Cortex,Diagnosed,0.4229,0.3994
Precentral Gyrus,Parahippocampal Gyrus (anterior),Diagnosed,0.4229,0.3994
Middle Frontal Gyrus,Angular Gyrus,Diagnosed,0.4223,0.3988
Angular Gyrus,Precuneous Cortex,Diagnosed,0.4216,0.3983
Cingulate Gyrus (posterior),Temporal Fusiform Cortex (posterior),Diagnosed,0.419,0.3961
Frontal Pole,Supramarginal Gyrus (posterior),Diagnosed,0.4151,0.3928
Lateral Occipital Cortex (inferior),Cingulate Gyrus (posterior),Diagnosed,0.4127,0.3908
Supramarginal Gyrus (posterior),Temporal Occipital Fusiform Cortex,Diagnosed,0.4116,0.3898
Lateral Occipital Cortex (inferior),Cingulate Gyrus (anterior),Diagnosed,0.4092,0.3878
Inferior Frontal Gyrus (pars triangularis),Inferior Temporal Gyrus (temporooccipital),Diagnosed,0.4089,0.3875
Superior Frontal Gyrus,Temporal Fusiform Cortex (posterior),Diagnosed,0.4085,0.3872
Cuneal Cortex,Temporal Occipital Fusiform Cortex,Diagnosed,0.4085,0.3872
Paracingulate Gyrus,Planum Polare,Diagnosed,0.4079,0.3867
Inferior Frontal Gyrus (pars opercularis),Postcentral Gyrus,Diagnosed,0.4077,0.3865
Superior Frontal Gyrus,Planum Polare,Diagnosed,0.4055,0.3846
Middle Frontal Gyrus,Inferior Frontal Gyrus (pars triangularis),Diagnosed,0.4041,0.3834
Inferior Frontal Gyrus (pars opercularis),Frontal Medial Cortex,Diagnosed,0.4039,0.3833
Inferior Frontal Gyrus (pars triangularis),Temporal Occipital Fusiform Cortex,Diagnosed,0.4036,0.383
Lateral Occipital Cortex (inferior),Temporal Occipital Fusiform Cortex,Diagnosed,0.4033,0.3828
Supramarginal Gyrus (posterior),Lateral Occipital Cortex (inferior),Diagnosed,0.4029,0.3825
Supramarginal Gyrus (posterior),Central Opercular Cortex,Diagnosed,0.4015,0.3813
Superior Frontal Gyrus,Temporal Occipital Fusiform Cortex,Diagnosed,0.4012,0.381
Cingulate Gyrus (posterior),Frontal Orbital Cortex,Diagnosed,0.3997,0.3797
Lateral Occipital Cortex (inferior),Paracingulate Gyrus,Diagnosed,0.3993,0.3794
