Source,Target,Group,Avg_Fisher_Z,Avg_r
Cingulate Gyrus (posterior),Parietal Operculum Cortex,Subthreshold,0.3894,0.3709
Lateral Occipital Cortex (inferior),Precuneous Cortex,Subthreshold,0.3886,0.3702
Precentral Gyrus,Parahippocampal Gyrus (anterior),Subthreshold,0.3882,0.3698
Superior Parietal Lobule,Lateral Occipital Cortex (inferior),Subthreshold,0.3865,0.3684
Superior Frontal Gyrus,Inferior Frontal Gyrus (pars triangularis),Subthreshold,0.3861,0.368
Inferior Frontal Gyrus (pars triangularis),Frontal Medial Cortex,Subthreshold,0.3858,0.3677
Supramarginal Gyrus (posterior),Planum Polare,Subthreshold,0.3845,0.3667
Inferior Frontal Gyrus (pars triangularis),Cingulate Gyrus (anterior),Subthreshold,0.3838,0.366
Inferior Temporal Gyrus (temporooccipital),Precuneous Cortex,Subthreshold,0.3831,0.3654
Cingulate Gyrus (anterior),Precuneous Cortex,Subthreshold,0.3825,0.3648
Postcentral Gyrus,Temporal Occipital Fusiform Cortex,Subthreshold,0.3808,0.3634
Parahippocampal Gyrus (anterior),Planum Polare,Subthreshold,0.3795,0.3623
Frontal Pole,Occipital Fusiform Gyrus,Subthreshold,0.3784,0.3613
Parahippocampal Gyrus (anterior),Central Opercular Cortex,Subthreshold,0.3772,0.3602
Superior Parietal Lobule,Cuneal Cortex,Subthreshold,0.3769,0.36
Inferior Frontal Gyrus (pars opercularis),Parahippocampal Gyrus (anterior),Subthreshold,0.3754,0.3587
Insular Cortex,Postcentral Gyrus,Subthreshold,0.3739,0.3574
Supramarginal Gyrus (anterior),Lateral Occipital Cortex (inferior),Subthreshold,0.3728,0.3565
Cingulate Gyrus (anterior),Parietal Operculum Cortex,Subthreshold,0.3718,0.3555
Paracingulate Gyrus,Planum Polare,Subthreshold,0.3714,0.3553
Precentral Gyrus,Precuneous Cortex,Subthreshold,0.3703,0.3542
Temporal Occipital Fusiform Cortex,Parietal Operculum Cortex,Subthreshold,0.3701,0.354
Frontal Medial Cortex,Precuneous Cortex,Subthreshold,0.3698,0.3538
Subcallosal Cortex,Parahippocampal Gyrus (anterior),Subthreshold,0.369,0.3531
Inferior Temporal Gyrus (temporooccipital),Central Opercular Cortex,Subthreshold,0.3673,0.3516
Inferior Frontal Gyrus (pars triangularis),Cingulate Gyrus (posterior),Subthreshold,0.3668,0.3512
Frontal Operculum Cortex,Central Opercular Cortex,Subthreshold,0.3655,0.35
Lateral Occipital Cortex (inferior),Occipital Fusiform Gyrus,Subthreshold,0.3645,0.3492
Juxtapositional Lobule Cortex,Temporal Occipital Fusiform Cortex,Subthreshold,0.3637,0.3485
Cingulate Gyrus (anterior),Central Opercular Cortex,Subthreshold,0.3621,0.347
Insular Cortex,Frontal Medial Cortex,Subthreshold,0.3589,0.3442
