Source,Target,Group,Avg_Fisher_Z,Avg_r
Precuneous Cortex,Planum Temporale,Subthreshold,0.1102,0.1097
Insular Cortex,Planum Temporale,Subthreshold,0.1096,0.1092
Middle Temporal Gyrus (temporooccipital),Postcentral Gyrus,Subthreshold,0.1094,0.109
Frontal Operculum Cortex,Planum Temporale,Subthreshold,0.1093,0.1088
Middle Temporal Gyrus (posterior),Lateral Occipital Cortex (superior),Subthreshold,0.1093,0.1088
Middle Temporal Gyrus (anterior),Precuneous Cortex,Subthreshold,0.1083,0.1079
Superior Temporal Gyrus (anterior),Precuneous Cortex,Subthreshold,0.1077,0.1073
Insular Cortex,Frontal Orbital Cortex,Subthreshold,0.1076,0.1072
Parietal Operculum Cortex,Planum Temporale,Subthreshold,0.1073,0.1069
Temporal Pole,Paracingulate Gyrus,Subthreshold,0.1069,0.1065
Frontal Operculum Cortex,Parietal Operculum Cortex,Subthreshold,0.1064,0.106
Middle Temporal Gyrus (posterior),Parietal Operculum Cortex,Subthreshold,0.106,0.1056
Superior Frontal Gyrus,Temporal Fusiform Cortex (anterior),Subthreshold,0.106,0.1056
Supramarginal Gyrus (posterior),Juxtapositional Lobule Cortex,Subthreshold,0.1051,0.1047
Superior Temporal Gyrus (posterior),Paracingulate Gyrus,Subthreshold,0.1045,0.1042
Middle Temporal Gyrus (anterior),Parahippocampal Gyrus (posterior),Subthreshold,0.1045,0.1041
Supramarginal Gyrus (posterior),Temporal Fusiform Cortex (anterior),Subthreshold,0.1044,0.1041
Cingulate Gyrus (posterior),Frontal Operculum Cortex,Subthreshold,0.1042,0.1039
Cingulate Gyrus (anterior),Frontal Operculum Cortex,Subthreshold,0.104,0.1036
Superior Parietal Lobule,Temporal Fusiform Cortex (anterior),Subthreshold,0.1039,0.1035
Lingual Gyrus,Planum Temporale,Subthreshold,0.1033,0.103
Middle Temporal Gyrus (posterior),Inferior Temporal Gyrus (anterior),Subthreshold,0.1022,0.1018
Temporal Fusiform Cortex (anterior),Central Opercular Cortex,Subthreshold,0.1017,0.1013
Supramarginal Gyrus (anterior),Frontal Operculum Cortex,Subthreshold,0.1016,0.1013
Middle Frontal Gyrus,Superior Temporal Gyrus (posterior),Subthreshold,0.1015,0.1012
Middle Temporal Gyrus (temporooccipital),Planum Temporale,Subthreshold,0.1005,0.1002
Superior Temporal Gyrus (anterior),Middle Temporal Gyrus (temporooccipital),Subthreshold,0.1002,0.0999
Superior Parietal Lobule,Lateral Occipital Cortex (superior),Subthreshold,0.099,0.0987
Middle Temporal Gyrus (anterior),Middle Temporal Gyrus (temporooccipital),Subthreshold,0.0983,0.0979
Angular Gyrus,Parahippocampal Gyrus (posterior),Subthreshold,0.0982,0.0979
Middle Temporal Gyrus (posterior),Parahippocampal Gyrus (anterior),Subthreshold,0.0975,0.0972
Inferior Temporal Gyrus (temporooccipital),Intracalcarine Cortex,Subthreshold,0.0972,0.0969
Superior Temporal Gyrus (posterior),Parahippocampal Gyrus (posterior),Subthreshold,0.0972,0.0969
Inferior Frontal Gyrus (pars opercularis),Lingual Gyrus,Subthreshold,0.097,0.0967
Inferior Temporal Gyrus (anterior),Precuneous Cortex,Subthreshold,0.0965,0.0962
Intracalcarine Cortex,Cingulate Gyrus (anterior),Subthreshold,0.0961,0.0958
Superior Parietal Lobule,Lingual Gyrus,Subthreshold,0.0958,0.0955
Juxtapositional Lobule Cortex,Paracingulate Gyrus,Subthreshold,0.0955,0.0952
Intracalcarine Cortex,Temporal Fusiform Cortex (posterior),Subthreshold,0.0955,0.0952
Precentral Gyrus,Temporal Pole,Subthreshold,0.0952,0.095
Superior Temporal Gyrus (anterior),Parietal Operculum Cortex,Subthreshold,0.0949,0.0947
Middle Temporal Gyrus (anterior),Juxtapositional Lobule Cortex,Subthreshold,0.0936,0.0933
Middle Temporal Gyrus (posterior),Lateral Occipital Cortex (inferior),Subthreshold,0.0936,0.0933
Middle Temporal Gyrus (anterior),Temporal Fusiform Cortex (anterior),Subthreshold,0.0932,0.0929
Inferior Frontal Gyrus (pars triangularis),Juxtapositional Lobule Cortex,Subthreshold,0.093,0.0927
Middle Temporal Gyrus (posterior),Supramarginal Gyrus (posterior),Subthreshold,0.0926,0.0923
Precentral Gyrus,Frontal Operculum Cortex,Subthreshold,0.0926,0.0923
Angular Gyrus,Planum Temporale,Subthreshold,0.092,0.0917
Cuneal Cortex,Lingual Gyrus,Subthreshold,0.0915,0.0912
Precentral Gyrus,Intracalcarine Cortex,Subthreshold,0.0914,0.0912
Superior Parietal Lobule,Juxtapositional Lobule Cortex,Subthreshold,0.0911,0.0908
Paracingulate Gyrus,Frontal Orbital Cortex,Subthreshold,0.091,0.0907
Middle Frontal Gyrus,Middle Temporal Gyrus (temporooccipital),Subthreshold,0.0908,0.0906
Inferior Temporal Gyrus (temporooccipital),Lateral Occipital Cortex (superior),Subthreshold,0.0903,0.0901
Superior Frontal Gyrus,Temporal Pole,Subthreshold,0.0903,0.0901
Temporal Occipital Fusiform Cortex,Planum Temporale,Subthreshold,0.0894,0.0892
Temporal Pole,Lingual Gyrus,Subthreshold,0.0894,0.0892
Lateral Occipital Cortex (superior),Parahippocampal Gyrus (posterior),Subthreshold,0.0894,0.0892
Inferior Temporal Gyrus (posterior),Intracalcarine Cortex,Subthreshold,-0.0883,-0.0881
Middle Temporal Gyrus (temporooccipital),Inferior Temporal Gyrus (anterior),Subthreshold,0.0882,0.088
Paracingulate Gyrus,Temporal Fusiform Cortex (anterior),Subthreshold,0.0881,0.0878
Inferior Temporal Gyrus (anterior),Lateral Occipital Cortex (inferior),Subthreshold,0.088,0.0878
Superior Temporal Gyrus (anterior),Middle Temporal Gyrus (posterior),Subthreshold,0.0879,0.0877
Superior Temporal Gyrus (anterior),Temporal Fusiform Cortex (posterior),Subthreshold,0.0878,0.0876
Inferior Temporal Gyrus (anterior),Central Opercular Cortex,Subthreshold,0.0875,0.0873
Frontal Pole,Lingual Gyrus,Subthreshold,0.0871,0.0869
Cuneal Cortex,Planum Temporale,Subthreshold,0.0863,0.0861
Frontal Orbital Cortex,Frontal Operculum Cortex,Subthreshold,0.085,0.0848
Inferior Temporal Gyrus (posterior),Angular Gyrus,Subthreshold,-0.085,-0.0848
Supramarginal Gyrus (posterior),Parahippocampal Gyrus (posterior),Subthreshold,0.0848,0.0846
Frontal Medial Cortex,Juxtapositional Lobule Cortex,Subthreshold,0.0842,0.084
Superior Frontal Gyrus,Intracalcarine Cortex,Subthreshold,0.0838,0.0836
Superior Frontal Gyrus,Juxtapositional Lobule Cortex,Subthreshold,0.0833,0.0831
Middle Temporal Gyrus (anterior),Parahippocampal Gyrus (anterior),Subthreshold,0.0833,0.0831
Juxtapositional Lobule Cortex,Planum Temporale,Subthreshold,0.0831,0.0829
Superior Temporal Gyrus (posterior),Lingual Gyrus,Subthreshold,0.0827,0.0825
Lateral Occipital Cortex (superior),Frontal Medial Cortex,Subthreshold,0.0824,0.0823
Middle Frontal Gyrus,Temporal Pole,Subthreshold,0.0823,0.0822
Superior Frontal Gyrus,Superior Temporal Gyrus (anterior),Subthreshold,0.0824,0.0822
Inferior Temporal Gyrus (anterior),Parahippocampal Gyrus (posterior),Subthreshold,0.0822,0.082
Superior Temporal Gyrus (posterior),Inferior Temporal Gyrus (anterior),Subthreshold,0.0815,0.0813
Superior Frontal Gyrus,Frontal Operculum Cortex,Subthreshold,0.0814,0.0812
Middle Frontal Gyrus,Frontal Orbital Cortex,Subthreshold,0.081,0.0808
Parahippocampal Gyrus (anterior),Parahippocampal Gyrus (posterior),Subthreshold,0.0807,0.0805
Middle Temporal Gyrus (anterior),Planum Polare,Subthreshold,0.0796,0.0794
Juxtapositional Lobule Cortex,Occipital Fusiform Gyrus,Subthreshold,0.0796,0.0794
Temporal Fusiform Cortex (anterior),Temporal Fusiform Cortex (posterior),Subthreshold,0.0793,0.0792
Frontal Medial Cortex,Frontal Orbital Cortex,Subthreshold,0.0792,0.079
Temporal Pole,Middle Temporal Gyrus (posterior),Subthreshold,0.0789,0.0787
Occipital Fusiform Gyrus,Planum Temporale,Subthreshold,0.0784,0.0782
Postcentral Gyrus,Intracalcarine Cortex,Subthreshold,0.0782,0.0781
Occipital Fusiform Gyrus,Frontal Operculum Cortex,Subthreshold,0.0783,0.0781
Lateral Occipital Cortex (inferior),Planum Temporale,Subthreshold,0.0782,0.078
Angular Gyrus,Frontal Operculum Cortex,Subthreshold,0.078,0.0778
Lateral Occipital Cortex (superior),Frontal Orbital Cortex,Subthreshold,0.0775,0.0773
Lingual Gyrus,Planum Polare,Subthreshold,0.0773,0.0772
Middle Temporal Gyrus (anterior),Supramarginal Gyrus (posterior),Subthreshold,0.0774,0.0772
Temporal Pole,Parahippocampal Gyrus (posterior),Subthreshold,0.0772,0.0771
Middle Temporal Gyrus (posterior),Intracalcarine Cortex,Subthreshold,0.077,0.0769
Frontal Orbital Cortex,Temporal Fusiform Cortex (anterior),Subthreshold,0.0766,0.0765
Middle Temporal Gyrus (posterior),Temporal Fusiform Cortex (posterior),Subthreshold,0.0764,0.0762
Inferior Temporal Gyrus (anterior),Occipital Fusiform Gyrus,Subthreshold,0.0759,0.0758
Frontal Pole,Frontal Orbital Cortex,Subthreshold,0.076,0.0758
Middle Temporal Gyrus (posterior),Planum Polare,Subthreshold,0.0757,0.0756
Subcallosal Cortex,Lingual Gyrus,Subthreshold,0.0754,0.0753
Lateral Occipital Cortex (inferior),Frontal Orbital Cortex,Subthreshold,0.0754,0.0753
Middle Temporal Gyrus (posterior),Cingulate Gyrus (posterior),Subthreshold,0.0748,0.0746
Middle Temporal Gyrus (posterior),Angular Gyrus,Subthreshold,0.0731,0.073
Lingual Gyrus,Temporal Fusiform Cortex (posterior),Subthreshold,0.0731,0.073
Superior Frontal Gyrus,Middle Temporal Gyrus (anterior),Subthreshold,0.0731,0.073
Intracalcarine Cortex,Frontal Medial Cortex,Subthreshold,0.0725,0.0724
Middle Temporal Gyrus (anterior),Temporal Fusiform Cortex (posterior),Subthreshold,0.0718,0.0717
Temporal Pole,Cingulate Gyrus (posterior),Subthreshold,0.0713,0.0712
Superior Parietal Lobule,Frontal Operculum Cortex,Subthreshold,0.0708,0.0707
Precentral Gyrus,Middle Temporal Gyrus (anterior),Subthreshold,0.0707,0.0706
Insular Cortex,Lingual Gyrus,Subthreshold,0.0706,0.0705
Inferior Temporal Gyrus (anterior),Temporal Occipital Fusiform Cortex,Subthreshold,0.0704,0.0703
Superior Temporal Gyrus (anterior),Occipital Fusiform Gyrus,Subthreshold,0.0704,0.0702
Inferior Frontal Gyrus (pars triangularis),Parahippocampal Gyrus (posterior),Subthreshold,-0.0699,-0.0698
Lateral Occipital Cortex (superior),Intracalcarine Cortex,Subthreshold,0.0696,0.0695
Temporal Pole,Inferior Temporal Gyrus (posterior),Subthreshold,0.0693,0.0692
Inferior Frontal Gyrus (pars opercularis),Superior Temporal Gyrus (anterior),Subthreshold,0.0694,0.0692
Subcallosal Cortex,Planum Temporale,Subthreshold,0.0692,0.0691
Middle Frontal Gyrus,Lateral Occipital Cortex (superior),Subthreshold,0.0686,0.0685
Superior Frontal Gyrus,Lingual Gyrus,Subthreshold,0.0683,0.0682
Middle Temporal Gyrus (posterior),Inferior Temporal Gyrus (temporooccipital),Subthreshold,0.0683,0.0681
Inferior Temporal Gyrus (posterior),Subcallosal Cortex,Subthreshold,0.0682,0.0681
Angular Gyrus,Temporal Fusiform Cortex (anterior),Subthreshold,0.0677,0.0676
Middle Temporal Gyrus (posterior),Frontal Medial Cortex,Subthreshold,0.0675,0.0674
Inferior Frontal Gyrus (pars triangularis),Superior Temporal Gyrus (posterior),Subthreshold,0.0674,0.0673
Temporal Pole,Parietal Operculum Cortex,Subthreshold,0.0672,0.0671
Juxtapositional Lobule Cortex,Cingulate Gyrus (posterior),Subthreshold,0.0666,0.0665
Superior Temporal Gyrus (posterior),Temporal Fusiform Cortex (posterior),Subthreshold,0.0663,0.0662
Middle Temporal Gyrus (anterior),Cingulate Gyrus (posterior),Subthreshold,0.066,0.0659
Frontal Medial Cortex,Temporal Fusiform Cortex (anterior),Subthreshold,0.0659,0.0658
Middle Temporal Gyrus (posterior),Planum Temporale,Subthreshold,0.0653,0.0652
Temporal Pole,Cingulate Gyrus (anterior),Subthreshold,0.0653,0.0652
Lateral Occipital Cortex (superior),Cingulate Gyrus (anterior),Subthreshold,0.0653,0.0652
Middle Temporal Gyrus (posterior),Frontal Operculum Cortex,Subthreshold,0.065,0.0649
Temporal Pole,Supramarginal Gyrus (posterior),Subthreshold,0.0649,0.0648
Superior Temporal Gyrus (anterior),Angular Gyrus,Subthreshold,0.0646,0.0645
Inferior Temporal Gyrus (anterior),Paracingulate Gyrus,Subthreshold,0.0645,0.0644
Superior Frontal Gyrus,Middle Temporal Gyrus (posterior),Subthreshold,0.0641,0.064
Superior Temporal Gyrus (anterior),Planum Temporale,Subthreshold,0.0637,0.0636
Superior Temporal Gyrus (anterior),Frontal Orbital Cortex,Subthreshold,0.0636,0.0635
Supramarginal Gyrus (posterior),Planum Temporale,Subthreshold,0.0634,0.0633
Inferior Frontal Gyrus (pars opercularis),Temporal Fusiform Cortex (anterior),Subthreshold,0.0634,0.0633
Postcentral Gyrus,Lingual Gyrus,Subthreshold,0.0629,0.0628
Angular Gyrus,Lateral Occipital Cortex (superior),Subthreshold,0.0627,0.0626
Middle Temporal Gyrus (temporooccipital),Lingual Gyrus,Subthreshold,0.0626,0.0625
Temporal Fusiform Cortex (anterior),Occipital Fusiform Gyrus,Subthreshold,0.0623,0.0623
Paracingulate Gyrus,Planum Temporale,Subthreshold,0.0623,0.0622
Middle Temporal Gyrus (temporooccipital),Temporal Fusiform Cortex (anterior),Subthreshold,0.0623,0.0622
Superior Temporal Gyrus (anterior),Supramarginal Gyrus (posterior),Subthreshold,0.0604,0.0603
Inferior Temporal Gyrus (posterior),Frontal Orbital Cortex,Subthreshold,-0.0603,-0.0602
Inferior Frontal Gyrus (pars opercularis),Middle Temporal Gyrus (posterior),Subthreshold,0.0598,0.0598
Inferior Frontal Gyrus (pars triangularis),Temporal Pole,Subthreshold,0.0593,0.0593
Inferior Temporal Gyrus (anterior),Parietal Operculum Cortex,Subthreshold,0.0593,0.0592
Middle Frontal Gyrus,Juxtapositional Lobule Cortex,Subthreshold,0.0591,0.059
Superior Temporal Gyrus (posterior),Intracalcarine Cortex,Subthreshold,0.059,0.0589
Temporal Fusiform Cortex (posterior),Planum Temporale,Subthreshold,0.059,0.0589
Inferior Temporal Gyrus (posterior),Cingulate Gyrus (posterior),Subthreshold,-0.0588,-0.0588
Middle Temporal Gyrus (posterior),Occipital Fusiform Gyrus,Subthreshold,0.0589,0.0588
Middle Temporal Gyrus (posterior),Postcentral Gyrus,Subthreshold,0.0586,0.0586
Inferior Temporal Gyrus (posterior),Parahippocampal Gyrus (anterior),Subthreshold,0.0584,0.0583
Middle Temporal Gyrus (posterior),Subcallosal Cortex,Subthreshold,0.0582,0.0582
Cingulate Gyrus (anterior),Lingual Gyrus,Subthreshold,0.0583,0.0582
Precentral Gyrus,Middle Temporal Gyrus (posterior),Subthreshold,0.0579,0.0579
Supramarginal Gyrus (anterior),Juxtapositional Lobule Cortex,Subthreshold,0.0579,0.0579
Superior Temporal Gyrus (anterior),Cingulate Gyrus (anterior),Subthreshold,0.0577,0.0577
Paracingulate Gyrus,Lingual Gyrus,Subthreshold,0.0575,0.0575
Inferior Temporal Gyrus (anterior),Intracalcarine Cortex,Subthreshold,-0.0573,-0.0572
Cuneal Cortex,Frontal Orbital Cortex,Subthreshold,0.0569,0.0568
Inferior Temporal Gyrus (posterior),Paracingulate Gyrus,Subthreshold,0.0565,0.0564
Middle Temporal Gyrus (anterior),Planum Temporale,Subthreshold,0.0564,0.0564
Inferior Temporal Gyrus (anterior),Supramarginal Gyrus (anterior),Subthreshold,0.0562,0.0561
Inferior Temporal Gyrus (anterior),Frontal Medial Cortex,Subthreshold,0.056,0.0559
Parahippocampal Gyrus (posterior),Frontal Operculum Cortex,Subthreshold,0.0557,0.0557
Frontal Medial Cortex,Parahippocampal Gyrus (posterior),Subthreshold,0.0557,0.0556
Precentral Gyrus,Lingual Gyrus,Subthreshold,0.0552,0.0551
Frontal Medial Cortex,Frontal Operculum Cortex,Subthreshold,0.0548,0.0548
Inferior Temporal Gyrus (anterior),Lingual Gyrus,Subthreshold,-0.0549,-0.0548
Inferior Temporal Gyrus (anterior),Lateral Occipital Cortex (superior),Subthreshold,0.0544,0.0543
Inferior Temporal Gyrus (anterior),Angular Gyrus,Subthreshold,0.0544,0.0543
Lingual Gyrus,Temporal Occipital Fusiform Cortex,Subthreshold,0.0543,0.0542
Middle Temporal Gyrus (anterior),Lateral Occipital Cortex (inferior),Subthreshold,0.0539,0.0539
Parahippocampal Gyrus (posterior),Planum Polare,Subthreshold,-0.0539,-0.0538
Supramarginal Gyrus (anterior),Intracalcarine Cortex,Subthreshold,0.0538,0.0537
Superior Parietal Lobule,Intracalcarine Cortex,Subthreshold,0.0536,0.0536
Inferior Temporal Gyrus (temporooccipital),Frontal Operculum Cortex,Subthreshold,0.0536,0.0535
Inferior Frontal Gyrus (pars opercularis),Frontal Orbital Cortex,Subthreshold,0.0533,0.0533
Middle Temporal Gyrus (anterior),Inferior Temporal Gyrus (temporooccipital),Subthreshold,0.0532,0.0532
Superior Temporal Gyrus (anterior),Postcentral Gyrus,Subthreshold,-0.0529,-0.0529
Inferior Temporal Gyrus (anterior),Parahippocampal Gyrus (anterior),Subthreshold,0.0527,0.0527
Inferior Temporal Gyrus (anterior),Temporal Fusiform Cortex (anterior),Subthreshold,0.0523,0.0523
Inferior Frontal Gyrus (pars triangularis),Lingual Gyrus,Subthreshold,0.0522,0.0521
Inferior Frontal Gyrus (pars triangularis),Middle Temporal Gyrus (posterior),Subthreshold,0.0518,0.0518
Temporal Pole,Angular Gyrus,Subthreshold,0.0519,0.0518
Middle Temporal Gyrus (anterior),Frontal Medial Cortex,Subthreshold,0.051,0.051
Middle Temporal Gyrus (anterior),Angular Gyrus,Subthreshold,0.0506,0.0506
Middle Frontal Gyrus,Middle Temporal Gyrus (anterior),Subthreshold,0.0507,0.0506
Intracalcarine Cortex,Parietal Operculum Cortex,Subthreshold,0.0505,0.0505
Inferior Temporal Gyrus (posterior),Cuneal Cortex,Subthreshold,0.0503,0.0503
Postcentral Gyrus,Juxtapositional Lobule Cortex,Subthreshold,0.0503,0.0502
Intracalcarine Cortex,Occipital Fusiform Gyrus,Subthreshold,0.0503,0.0502
Middle Temporal Gyrus (temporooccipital),Juxtapositional Lobule Cortex,Subthreshold,0.05,0.05
Precentral Gyrus,Superior Temporal Gyrus (anterior),Subthreshold,0.05,0.05
Inferior Temporal Gyrus (temporooccipital),Lingual Gyrus,Subthreshold,0.0496,0.0495
Temporal Pole,Frontal Orbital Cortex,Subthreshold,0.049,0.049
Frontal Orbital Cortex,Temporal Fusiform Cortex (posterior),Subthreshold,0.0491,0.049
Superior Temporal Gyrus (anterior),Cingulate Gyrus (posterior),Subthreshold,0.0485,0.0484
Inferior Frontal Gyrus (pars opercularis),Middle Temporal Gyrus (anterior),Subthreshold,0.0483,0.0483
Inferior Temporal Gyrus (posterior),Inferior Temporal Gyrus (temporooccipital),Subthreshold,-0.0484,-0.0483
Superior Temporal Gyrus (posterior),Inferior Temporal Gyrus (posterior),Subthreshold,-0.048,-0.048
Middle Temporal Gyrus (posterior),Paracingulate Gyrus,Subthreshold,0.0479,0.0479
Inferior Temporal Gyrus (anterior),Superior Parietal Lobule,Subthreshold,0.0476,0.0476
Postcentral Gyrus,Parahippocampal Gyrus (posterior),Subthreshold,-0.0475,-0.0474
Inferior Temporal Gyrus (posterior),Planum Polare,Subthreshold,0.0469,0.0469
Inferior Frontal Gyrus (pars opercularis),Superior Temporal Gyrus (posterior),Subthreshold,0.0467,0.0466
Lateral Occipital Cortex (superior),Lingual Gyrus,Subthreshold,0.0461,0.0461
Juxtapositional Lobule Cortex,Cingulate Gyrus (anterior),Subthreshold,0.0461,0.0461
Temporal Pole,Planum Temporale,Subthreshold,0.0459,0.0459
Frontal Pole,Planum Temporale,Subthreshold,0.0459,0.0458
Frontal Medial Cortex,Lingual Gyrus,Subthreshold,0.0456,0.0456
Inferior Temporal Gyrus (posterior),Planum Temporale,Subthreshold,0.0455,0.0455
Cingulate Gyrus (posterior),Lingual Gyrus,Subthreshold,0.0452,0.0451
Superior Temporal Gyrus (anterior),Inferior Temporal Gyrus (posterior),Subthreshold,0.0448,0.0448
Inferior Temporal Gyrus (anterior),Subcallosal Cortex,Subthreshold,0.0436,0.0436
Inferior Frontal Gyrus (pars triangularis),Temporal Fusiform Cortex (anterior),Subthreshold,0.0434,0.0434
Inferior Temporal Gyrus (anterior),Cingulate Gyrus (posterior),Subthreshold,0.0433,0.0433
Middle Temporal Gyrus (anterior),Frontal Orbital Cortex,Subthreshold,0.043,0.043
Inferior Temporal Gyrus (posterior),Parahippocampal Gyrus (posterior),Subthreshold,0.043,0.0429
Inferior Temporal Gyrus (posterior),Postcentral Gyrus,Subthreshold,-0.043,-0.0429
Inferior Temporal Gyrus (posterior),Central Opercular Cortex,Subthreshold,-0.0429,-0.0429
Juxtapositional Lobule Cortex,Frontal Orbital Cortex,Subthreshold,0.0424,0.0424
Intracalcarine Cortex,Temporal Fusiform Cortex (anterior),Subthreshold,0.0412,0.0412
Inferior Temporal Gyrus (posterior),Temporal Occipital Fusiform Cortex,Subthreshold,-0.0411,-0.0411
Middle Temporal Gyrus (anterior),Parietal Operculum Cortex,Subthreshold,0.0409,0.0409
Inferior Frontal Gyrus (pars triangularis),Inferior Temporal Gyrus (posterior),Subthreshold,0.0398,0.0398
Superior Parietal Lobule,Parahippocampal Gyrus (posterior),Subthreshold,0.0397,0.0397
Superior Temporal Gyrus (anterior),Frontal Medial Cortex,Subthreshold,0.0396,0.0396
Temporal Pole,Frontal Medial Cortex,Subthreshold,0.0395,0.0395
Inferior Frontal Gyrus (pars triangularis),Inferior Temporal Gyrus (anterior),Subthreshold,0.0394,0.0394
Parahippocampal Gyrus (posterior),Occipital Fusiform Gyrus,Subthreshold,0.0394,0.0394
Superior Frontal Gyrus,Planum Temporale,Subthreshold,0.0394,0.0394
Temporal Pole,Inferior Temporal Gyrus (temporooccipital),Subthreshold,0.0395,0.0394
Frontal Pole,Middle Temporal Gyrus (posterior),Subthreshold,0.0393,0.0393
Supramarginal Gyrus (anterior),Planum Temporale,Subthreshold,0.0394,0.0393
Lingual Gyrus,Frontal Operculum Cortex,Subthreshold,0.0383,0.0383
Superior Frontal Gyrus,Inferior Temporal Gyrus (anterior),Subthreshold,0.0378,0.0378
Intracalcarine Cortex,Parahippocampal Gyrus (anterior),Subthreshold,-0.0378,-0.0378
Middle Temporal Gyrus (posterior),Cingulate Gyrus (anterior),Subthreshold,0.0376,0.0376
Inferior Temporal Gyrus (anterior),Frontal Operculum Cortex,Subthreshold,0.0374,0.0374
Middle Temporal Gyrus (anterior),Inferior Temporal Gyrus (anterior),Subthreshold,0.036,0.036
Inferior Temporal Gyrus (posterior),Lateral Occipital Cortex (inferior),Subthreshold,-0.036,-0.036
Inferior Temporal Gyrus (temporooccipital),Temporal Fusiform Cortex (anterior),Subthreshold,0.0357,0.0357
Inferior Temporal Gyrus (posterior),Frontal Operculum Cortex,Subthreshold,0.0347,0.0347
Cingulate Gyrus (posterior),Parahippocampal Gyrus (posterior),Subthreshold,0.0344,0.0344
Middle Temporal Gyrus (anterior),Occipital Fusiform Gyrus,Subthreshold,0.0338,0.0338
Inferior Temporal Gyrus (anterior),Cuneal Cortex,Subthreshold,0.0337,0.0337
Supramarginal Gyrus (anterior),Parahippocampal Gyrus (posterior),Subthreshold,0.033,0.033
Middle Temporal Gyrus (anterior),Postcentral Gyrus,Subthreshold,0.0328,0.0328
Temporal Pole,Superior Parietal Lobule,Subthreshold,0.0329,0.0328
Cingulate Gyrus (anterior),Parahippocampal Gyrus (posterior),Subthreshold,0.0323,0.0323
Inferior Frontal Gyrus (pars triangularis),Planum Temporale,Subthreshold,0.0322,0.0322
Cingulate Gyrus (anterior),Temporal Fusiform Cortex (anterior),Subthreshold,0.032,0.032
Inferior Temporal Gyrus (anterior),Cingulate Gyrus (anterior),Subthreshold,0.032,0.032
Frontal Orbital Cortex,Planum Polare,Subthreshold,0.0314,0.0314
Middle Frontal Gyrus,Lingual Gyrus,Subthreshold,-0.0308,-0.0308
Middle Temporal Gyrus (anterior),Lingual Gyrus,Subthreshold,0.0307,0.0307
Temporal Pole,Postcentral Gyrus,Subthreshold,-0.0305,-0.0305
Cingulate Gyrus (posterior),Temporal Fusiform Cortex (anterior),Subthreshold,0.0304,0.0304
Precentral Gyrus,Temporal Fusiform Cortex (anterior),Subthreshold,0.0299,0.0299
Subcallosal Cortex,Frontal Orbital Cortex,Subthreshold,0.0291,0.0291
Precentral Gyrus,Inferior Temporal Gyrus (anterior),Subthreshold,0.029,0.029
Inferior Frontal Gyrus (pars opercularis),Inferior Temporal Gyrus (anterior),Subthreshold,0.0284,0.0283
Inferior Frontal Gyrus (pars triangularis),Superior Temporal Gyrus (anterior),Subthreshold,0.0278,0.0278
Subcallosal Cortex,Parahippocampal Gyrus (posterior),Subthreshold,-0.0276,-0.0276
Parahippocampal Gyrus (posterior),Planum Temporale,Subthreshold,-0.0274,-0.0274
Insular Cortex,Inferior Temporal Gyrus (anterior),Subthreshold,0.0267,0.0267
Middle Frontal Gyrus,Superior Temporal Gyrus (anterior),Subthreshold,0.0266,0.0266
Inferior Temporal Gyrus (anterior),Frontal Orbital Cortex,Subthreshold,0.0261,0.0261
Inferior Temporal Gyrus (posterior),Supramarginal Gyrus (posterior),Subthreshold,-0.0258,-0.0258
Parahippocampal Gyrus (posterior),Temporal Fusiform Cortex (posterior),Subthreshold,-0.0249,-0.0249
Middle Temporal Gyrus (anterior),Supramarginal Gyrus (anterior),Subthreshold,0.0246,0.0246
Inferior Frontal Gyrus (pars opercularis),Parahippocampal Gyrus (posterior),Subthreshold,-0.0235,-0.0235
Middle Temporal Gyrus (posterior),Supramarginal Gyrus (anterior),Subthreshold,0.0235,0.0235
Inferior Temporal Gyrus (posterior),Parietal Operculum Cortex,Subthreshold,0.0232,0.0232
Inferior Frontal Gyrus (pars opercularis),Inferior Temporal Gyrus (posterior),Subthreshold,0.0228,0.0228
Precentral Gyrus,Parahippocampal Gyrus (posterior),Subthreshold,0.0226,0.0226
Insular Cortex,Parahippocampal Gyrus (posterior),Subthreshold,0.0221,0.0221
Postcentral Gyrus,Lateral Occipital Cortex (superior),Subthreshold,-0.0218,-0.0218
Parahippocampal Gyrus (posterior),Temporal Occipital Fusiform Cortex,Subthreshold,0.0216,0.0216
Postcentral Gyrus,Temporal Fusiform Cortex (anterior),Subthreshold,-0.0211,-0.0211
Temporal Pole,Supramarginal Gyrus (anterior),Subthreshold,0.0211,0.0211
Juxtapositional Lobule Cortex,Parahippocampal Gyrus (posterior),Subthreshold,0.0211,0.0211
Temporal Pole,Occipital Fusiform Gyrus,Subthreshold,0.0205,0.0205
Frontal Pole,Inferior Temporal Gyrus (posterior),Subthreshold,0.0204,0.0204
Superior Temporal Gyrus (anterior),Superior Parietal Lobule,Subthreshold,-0.0202,-0.0202
Supramarginal Gyrus (anterior),Lateral Occipital Cortex (superior),Subthreshold,0.0202,0.0202
Inferior Temporal Gyrus (anterior),Planum Temporale,Subthreshold,0.0201,0.02
Inferior Frontal Gyrus (pars opercularis),Planum Temporale,Subthreshold,0.0196,0.0196
Inferior Frontal Gyrus (pars triangularis),Frontal Orbital Cortex,Subthreshold,0.0195,0.0195
Inferior Temporal Gyrus (anterior),Postcentral Gyrus,Subthreshold,0.0194,0.0194
